info: cargo-llvm-cov currently setting cfg(coverage); you can opt-out it by passing --no-cfg-coverage
   Compiling openlark-core v0.15.0-dev (/Users/zool/workspace/open-lark/crates/openlark-core)
test auth::token_provider::tests::test_token_request_with_tenant_key ... ok
test auth::validator::tests::test_expiring_soon_token ... ok
test auth::validator::tests::test_expired_token ... ok
test auth::validator::tests::test_batch_validation ... ok
test auth::validator::tests::test_token_format_validation ... ok
test auth::validator::tests::test_filter_tokens ... ok
test auth::validator::tests::test_token_type_validation ... ok
test auth::validator::tests::test_valid_token ... ok
test config::tests::test_config_arc_efficiency ... ok
test config::tests::test_arc_efficiency_simulation ... ok
test config::tests::test_config_creation ... ok
test config::tests::test_config_default ... ok
test config::tests::test_config_builders ... ok
test config::tests::test_with_token_provider ... ok
test config::tests::test_config_clone ... ok
test constants::tests::test_access_token_type_debug_clone ... ok
test config::tests::test_config_with_custom_header ... ok
test config::tests::test_config_debug ... ok
test config::tests::test_config_with_timeout_variations ... ok
test constants::tests::test_access_token_type_default ... ok
test config::tests::test_config_with_different_app_types ... ok
test constants::tests::test_access_token_type_display ... ok
test constants::tests::test_access_token_type_equality ... ok
test constants::tests::test_app_type_debug_clone ... ok
test constants::tests::test_app_type_default ... ok
test constants::tests::test_app_type_equality ... ok
test constants::tests::test_constants_values ... ok
test constants::tests::test_content_type_formats ... ok
test constants::tests::test_error_code_ranges ... ok
test constants::tests::test_expiry_delta_reasonable ... ok
test constants::tests::test_url_constants_format ... ok
test content_disposition::tests::extract_filename_empty ... ok
test constants::tests::test_version_format ... ok
test content_disposition::tests::extract_filename_multiple_parts ... ok
test content_disposition::tests::extract_filename_quoted ... ok
test content_disposition::tests::extract_filename_star_malformed ... ok
test content_disposition::tests::extract_filename_star_missing_charset ... ok
test auth::cache::tests::test_memory_cache_capacity_limit ... ok
test content_disposition::tests::extract_filename_unquoted ... ok
test content_disposition::tests::extract_filename_utf8_star ... ok
test error::codes::severity_tests::test_error_severity_basic ... ok
test error::codes::severity_tests::test_error_severity_display ... ok
test error::codes::severity_tests::test_error_severity_from_level ... ok
test error::codes::severity_tests::test_error_severity_ordering ... ok
test error::codes::severity_tests::test_error_severity_properties ... ok
test error::codes::tests::test_error_categories ... ok
test error::codes::tests::test_error_code_conversion ... ok
test error::codes::tests::test_error_code_display ... ok
test error::codes::tests::test_error_code_properties ... ok
test error::codes::tests::test_error_severity ... ok
test error::codes::tests::test_for_error_type ... ok
test error::codes::tests::test_from_message ... ok
test error::codes::tests::test_http_status_conversion ... ok
test error::codes::tests::test_log_levels ... ok
test error::codes::tests::test_new_error_code_methods ... ok
test error::codes::tests::test_recovery_suggestions ... ok
test error::codes::tests::test_retry_logic ... ok
test error::codes::tests::test_user_vs_system_errors ... ok
test error::context::tests::test_error_context_basic ... ok
test error::context::tests::test_error_context_builder ... ok
test error::context::tests::test_error_context_clone_with ... ok
test error::context::tests::test_error_context_chain_operations ... ok
test error::context::tests::test_error_context_constructors ... ok
test error::context::tests::test_error_context_extend ... ok
test error::context::tests::test_error_context_is_empty ... ok
test error::context::tests::test_error_context_debug_format ... ok
test error::core::tests::api_error_has_code_and_severity ... ok
test error::core::tests::builder_creates_api_error_with_context ... ok
test error::core::tests::from_reqwest_error ... ok
test error::core::tests::core_error_to_record ... ok
test error::core::tests::rate_limit_retry_delay ... ok
test error::core::tests::record_contains_context ... ok
test error::kinds::tests::test_error_kind_display ... ok
test error::kinds::tests::test_error_kind_analyzer ... ok
test error::kinds::tests::test_error_kind_messages ... ok
test error::kinds::tests::test_error_kind_properties ... ok
test error::kinds::tests::test_error_type_conversion ... ok
test error::prelude::tests::test_builder_macro ... ok
test error::prelude::tests::test_ensure_macro ... ok
test error::prelude::tests::test_error_analysis_integration ... ok
test error::prelude::tests::test_modern_convenience_macros ... ok
test error::prelude::tests::test_modern_error_creation ... ok
test error::prelude::tests::test_modern_prelude_imports ... ok
test error::prelude::tests::test_validate_macro ... ok
test error::tests::test_capabilities ... ok
test error::tests::test_detailed_error_creation ... ok
test error::tests::test_error_analysis ... ok
test error::tests::test_modern_error_creation ... ok
test error::tests::test_version ... ok
test error::traits::tests::test_error_severity ... ok
test error::traits::tests::test_error_severity_display ... ok
test error::traits::tests::test_error_type_display ... ok
test http::test::test_decode_file_name_empty_filename ... ok
test http::test::test_decode_file_name_malformed_filename_star ... ok
test http::test::test_decode_file_name_missing_utf8_prefix ... ok
test http::test::test_decode_file_name_multiple_filename_star_entries ... ok
test http::test::test_decode_file_name_no_equals ... ok
test http::test::test_decode_file_name_special_characters ... ok
test http::test::test_decode_file_name_whitespace_handling ... ok
test http::test::test_determine_token_type_cache_disabled_all_empty ... ok
test http::test::test_determine_token_type_cache_disabled_fallback_priority ... ok
test http::test::test_determine_token_type_empty_types_list_no_cache ... ok
test http::test::test_determine_token_type_empty_types_list_no_panic ... ok
test http::test::test_determine_token_type_first_is_tenant ... ok
test http::test::test_determine_token_type_no_cache_app ... ok
test http::test::test_determine_token_type_no_cache_none ... ok
test http::test::test_determine_token_type_no_cache_tenant ... ok
test http::test::test_determine_token_type_no_cache_user ... ok
test http::test::test_determine_token_type_no_tenant_in_list ... ok
test http::test::test_determine_token_type_priority_with_multiple_tokens ... ok
test http::test::test_determine_token_type_single_app_type ... ok
test http::test::test_determine_token_type_single_none_type ... ok
test http::test::test_determine_token_type_tenant_key_without_tenant_type ... ok
test http::test::test_determine_token_type_user_token_without_user_type ... ok
test http::test::test_determine_token_type_with_cache_defaults_to_tenant ... ok
test http::test::test_determine_token_type_with_cache_tenant_key ... ok
test http::test::test_determine_token_type_with_cache_user_access_token ... ok
test http::test::test_validate_allowed_custom_headers ... ok
test http::test::test_validate_config_with_all_required_fields ... ok
test http::test::test_validate_empty_app_id ... ok
test http::test::test_validate_empty_app_secret ... ok
test http::test::test_validate_comprehensive_error_messages ... ok
test http::test::test_validate_forbidden_header_request_id ... ok
test http::test::test_validate_forbidden_headers_custom_values ... ok
test http::test::test_validate_forbidden_headers_request_id_variation ... ok
test http::test::test_validate_marketplace_app_type_with_non_tenant_token ... ok
test http::test::test_validate_marketplace_app_with_valid_tenant_key ... ok
test http::test::test_validate_marketplace_tenant_no_key ... ok
test http::test::test_validate_forbidden_header_key_request_id ... ok
test http::test::test_validate_marketplace_tenant_with_key ... ok
test http::test::test_validate_no_cache_missing_access_tokens ... ok
test http::test::test_validate_no_cache_none_token_type ... ok
test http::test::test_validate_no_cache_with_multiple_token_types ... ok
test http::test::test_validate_no_cache_with_tokens ... ok
test http::test::test_validate_token_type_app_with_tenant_token ... ok
test http::test::test_validate_self_build_app_type_with_tenant_token ... ok
test http::test::test_validate_token_type_edge_case_single_element ... ok
test http::test::test_validate_token_type_empty_list_no_panic ... ok
test http::test::test_validate_token_type_non_empty_list_ok ... ok
test http::test::test_validate_token_type_non_empty_list_returns_ok ... ok
test http::test::test_validate_token_type_tenant_with_user_token ... ok
test http::test::test_validate_token_type_valid_combinations ... ok
test http::test::test_validate_token_type_with_mismatched_tokens_simulation ... ok
test http::test::test_validate_user_token_empty ... ok
test http::test::test_validate_user_token_present ... ok
test http::test::test_validate_user_token_type_with_empty_user_token ... ok
test http::test::test_validate_valid_config ... ok
test improved_response_handler::tests::test_api_response_trait_data_format ... ok
test http::test::test_validate_with_cache_enabled_various_token_types ... ok
test improved_response_handler::tests::test_api_response_trait_from_binary ... ok
test improved_response_handler::tests::test_binary_response_logic ... ok
test improved_response_handler::tests::test_binary_response_edge_cases ... ok
test improved_response_handler::tests::test_complex_error_detail_scenarios ... ok
test improved_response_handler::tests::test_complex_error_response_scenarios ... ok
test improved_response_handler::tests::test_content_disposition_header_edge_cases ... ok
test improved_response_handler::tests::test_error_detail_empty_values ... ok
test improved_response_handler::tests::test_error_detail_optional_fields ... ok
test improved_response_handler::tests::test_error_info_serialization ... ok
test improved_response_handler::tests::test_edge_case_json_structures ... ok
test improved_response_handler::tests::test_filename_extraction ... ok
test improved_response_handler::tests::test_filename_extraction_edge_cases ... ok
test improved_response_handler::tests::test_concurrent_response_parsing ... ok
test improved_response_handler::tests::test_json_parsing_performance ... ok
test improved_response_handler::tests::test_handle_data_response_parsing_logic ... ok
test improved_response_handler::tests::test_handle_flatten_response_parsing_logic ... ok
test improved_response_handler::tests::test_macro_api_response_implementation ... ok
test improved_response_handler::tests::test_memory_efficient_response_processing ... ok
test improved_response_handler::tests::test_optimized_base_response_error ... ok
test improved_response_handler::tests::test_optimized_base_response_into_data_error ... ok
test improved_response_handler::tests::test_optimized_base_response_into_data_success ... ok
test improved_response_handler::tests::test_optimized_base_response_into_data_success_but_no_data ... ok
test improved_response_handler::tests::test_optimized_base_response_success ... ok
test improved_response_handler::tests::test_optimized_response_skipped_fields ... ok
test improved_response_handler::tests::test_optimized_response_serialization_roundtrip ... ok
test improved_response_handler::tests::test_real_world_response_patterns ... ok
test improved_response_handler::tests::test_response_tracker_integration_simulation ... ok
test improved_response_handler::tests::test_response_format_validation ... ok
test improved_response_handler::tests::test_response_format_display_logic ... ok
test improved_response_handler::tests::test_optimized_response_performance_characteristics ... ok
test improved_response_handler::tests::test_unicode_response_handling ... ok
test observability::tests::test_http_tracker_network_error ... ok
test observability::tests::test_auth_tracker_span_access ... ok
test observability::tests::test_auth_tracker_error_without_code ... ok
test observability::tests::test_auth_tracker_error ... ok
test observability::tests::test_http_tracker ... ok
test improved_response_handler::tests::test_large_response_data_handling ... ok
test observability::tests::test_operation_tracker_error ... ok
test observability::tests::test_init_tracing_functions ... ok
test observability::tests::test_operation_tracker_span_access ... ok
test observability::tests::test_operation_tracker_zero_elapsed_time ... ok
test observability::tests::test_http_tracker_different_status_codes ... ok
test observability::tests::test_edge_case_empty_strings ... ok
test observability::tests::test_response_tracker_error ... ok
test observability::tests::test_response_tracker_with_none_size ... ok
test observability::tests::test_multiple_trackers_concurrent ... ok
test observability::tests::test_trace_async_health_check_error ... ok
test observability::tests::test_trace_async_health_check_success ... ok
test observability::tests::test_trace_auth_operation_macro ... ok
test observability::tests::test_trace_health_check ... ok
test observability::tests::test_trace_response_processing_macro ... ok
test observability::tests::test_trace_auth_operation_macro_error ... ok
test observability::tests::test_trace_auth_operation_macro_non_api_error ... ok
test query_params::tests::test_badge_constants ... ok
test query_params::tests::test_build_empty ... ok
test performance::tests::test_config_variants_build_client ... ok
test query_params::tests::test_build_method ... ok
test query_params::tests::test_build_ref_empty ... ok
test query_params::tests::test_build_ref_method ... ok
test query_params::tests::test_builder_debug_trait ... ok
test query_params::tests::test_builder_is_consumed_by_build ... ok
test query_params::tests::test_builder_with_capacity ... ok
test query_params::tests::test_content_search_constants ... ok
test query_params::tests::test_comprehensive_chaining ... ok
test query_params::tests::test_custom_static_method ... ok
test query_params::tests::test_device_access_constants ... ok
test observability::tests::test_trace_response_processing_macro_parsing_error ... ok
test observability::tests::test_trace_response_processing_macro_validation_error ... ok
test query_params::tests::test_documentation_example ... ok
test query_params::tests::test_extreme_numeric_values ... ok
test query_params::tests::test_file_document_constants ... ok
test query_params::tests::test_empty_string_values ... ok
test query_params::tests::test_hire_related_constants ... ok
test query_params::tests::test_meeting_vc_constants ... ok
test query_params::tests::test_large_chain_building ... ok
test query_params::tests::test_memory_efficiency_static_strings ... ok
test query_params::tests::test_message_im_constants ... ok
test query_params::tests::test_method_overwriting ... ok
test query_params::tests::test_offset_limit_combinations ... ok
test query_params::tests::test_optional_method_mixed ... ok
test query_params::tests::test_optional_method_with_none ... ok
test query_params::tests::test_optional_method_with_some ... ok
test observability::tests::test_performance_macro_with_service_and_operation ... ok
test query_params::tests::test_page_size_edge_cases ... ok
test query_params::tests::test_optional_with_different_types ... ok
test query_params::tests::test_page_token_different_types ... ok
test query_params::tests::test_pagination_methods ... ok
test query_params::tests::test_pagination_constants ... ok
test query_params::tests::test_query_params_builder_creation ... ok
test query_params::tests::test_query_params_builder_default ... ok
test query_params::tests::test_status_type_constants ... ok
test query_params::tests::test_status_type_methods ... ok
test query_params::tests::test_static_string_memory_optimization ... ok
test query_params::tests::test_string_conversion_consistency ... ok
test query_params::tests::test_status_variations ... ok
test query_params::tests::test_time_methods_different_formats ... ok
test query_params::tests::test_time_methods ... ok
test query_params::tests::test_time_methods_empty_strings ... ok
test query_params::tests::test_time_range_constants ... ok
test query_params::tests::test_type_method_with_raw_identifier ... ok
test query_params::tests::test_unicode_and_special_characters ... ok
test query_params::tests::test_user_id_type_variants ... ok
test query_params::tests::test_user_identity_constants ... ok
test query_params::tests::test_user_identity_methods ... ok
test query_params::tests::test_user_methods_with_unicode ... ok
test query_params::tests::test_very_long_strings ... ok
test query_params::tests::test_with_capacity_performance ... ok
test query_params::tests::test_workplace_app_constants ... ok
test req_option::tests::test_request_option_builder_add_header ... ok
test req_option::tests::test_request_option_builder_add_header_multiple ... ok
test req_option::tests::test_request_option_builder_app_access_token ... ok
test req_option::tests::test_request_option_builder_app_ticket ... ok
test req_option::tests::test_request_option_builder_chaining ... ok
test req_option::tests::test_request_option_builder_creation ... ok
test req_option::tests::test_request_option_builder_default ... ok
test req_option::tests::test_request_option_builder_empty_header_map ... ok
test req_option::tests::test_request_option_builder_empty_strings ... ok
test req_option::tests::test_request_option_builder_file_download ... ok
test req_option::tests::test_request_option_builder_file_upload ... ok
test req_option::tests::test_request_option_builder_header ... ok
test req_option::tests::test_request_option_builder_header_and_add_header ... ok
test req_option::tests::test_request_option_builder_need_helpdesk_auth ... ok
test req_option::tests::test_request_option_builder_overwrite_header ... ok
test req_option::tests::test_request_option_builder_request_id ... ok
test req_option::tests::test_request_option_builder_special_characters ... ok
test req_option::tests::test_request_option_builder_tenant_access_token ... ok
test req_option::tests::test_request_option_builder_tenant_key ... ok
test req_option::tests::test_request_option_builder_user_access_token ... ok
test req_option::tests::test_request_option_debug_clone ... ok
test req_option::tests::test_request_option_default ... ok
test req_translator::tests::test_req_translator_is_send_sync ... ok
test req_translator::tests::test_req_translator_struct_creation ... ok
test request_builder::auth_handler::tests::test_add_auth_header_format ... ok
test req_translator::tests::test_req_translator_translate_delegation ... ok
test req_translator::tests::test_req_translator_with_marketplace_app ... ok
test req_translator::tests::test_req_translator_with_different_token_types ... ok
test req_translator::tests::test_req_translator_with_various_request_methods ... ok
test request_builder::auth_handler::tests::test_add_auth_header_with_empty_token ... ok
test request_builder::auth_handler::tests::test_add_auth_header_with_token ... ok
test request_builder::auth_handler::tests::test_apply_app_auth_no_cache_no_token ... ok
test request_builder::auth_handler::tests::test_apply_app_auth_via_token_provider ... ok
test request_builder::auth_handler::tests::test_apply_app_auth_with_token_in_option ... ok
test request_builder::auth_handler::tests::test_apply_auth_with_cache_enabled ... ok
test request_builder::auth_handler::tests::test_apply_auth_all_types ... ok
test request_builder::auth_handler::tests::test_apply_auth_none_type ... ok
test request_builder::auth_handler::tests::test_apply_auth_user_type ... ok
test request_builder::auth_handler::tests::test_apply_tenant_auth_no_cache_no_token ... ok
test request_builder::auth_handler::tests::test_auth_handler_struct_creation ... ok
test request_builder::auth_handler::tests::test_apply_tenant_auth_via_token_provider ... ok
test request_builder::auth_handler::tests::test_apply_tenant_auth_via_token_provider_marketplace ... ok
test request_builder::auth_handler::tests::test_apply_tenant_auth_with_token_in_option ... ok
test request_builder::auth_handler::tests::test_auth_handler_trait_implementations ... ok
test request_builder::auth_handler::tests::test_apply_user_auth ... ok
test request_builder::header_builder::tests::test_add_header ... ok
test request_builder::header_builder::tests::test_add_header_with_empty_values ... ok
test request_builder::header_builder::tests::test_add_headers_duplicate_keys ... ok
test request_builder::auth_handler::tests::test_noop_token_provider_returns_error ... ok
test request_builder::header_builder::tests::test_add_headers_empty_list ... ok
test observability::tests::test_async_performance_macro_error ... ok
test request_builder::header_builder::tests::test_add_headers_multiple ... ok
test request_builder::header_builder::tests::test_build_headers_preserves_request_builder_type ... ok
test request_builder::header_builder::tests::test_build_headers_user_agent_always_added ... ok
test request_builder::header_builder::tests::test_build_headers_header_precedence ... ok
test request_builder::header_builder::tests::test_build_headers_with_all_options ... ok
test request_builder::header_builder::tests::test_build_headers_with_empty_headers ... ok
test request_builder::header_builder::tests::test_build_headers_with_empty_request_id ... ok
test request_builder::header_builder::tests::test_header_builder_is_send_sync ... ok
test request_builder::header_builder::tests::test_header_builder_struct_creation ... ok
test request_builder::header_builder::tests::test_build_headers_with_special_characters ... ok
test request_builder::multipart_builder::tests::test_add_file_part_missing_file_name ... ok
test request_builder::multipart_builder::tests::test_add_file_part_non_string_file_name ... ok
test request_builder::multipart_builder::tests::test_add_file_part_success ... ok
test request_builder::multipart_builder::tests::test_add_form_fields_empty_data ... ok
test request_builder::multipart_builder::tests::test_add_form_fields_only_null_values ... ok
test request_builder::multipart_builder::tests::test_add_form_fields_special_characters ... ok
test request_builder::multipart_builder::tests::test_add_form_fields_various_types ... ok
test request_builder::multipart_builder::tests::test_build_multipart_empty_file ... ok
test request_builder::header_builder::tests::test_build_headers_with_large_number_of_headers ... ok
test request_builder::multipart_builder::tests::test_build_multipart_file_name_with_special_characters ... ok
test request_builder::multipart_builder::tests::test_build_multipart_missing_file_name ... ok
test request_builder::multipart_builder::tests::test_build_multipart_non_object_json ... ok
test request_builder::multipart_builder::tests::test_build_multipart_invalid_json ... ok
test request_builder::multipart_builder::tests::test_build_multipart_simple_file ... ok
test request_builder::multipart_builder::tests::test_build_multipart_large_file ... ok
test request_builder::tests::test_build_basic_request ... ok
test request_builder::multipart_builder::tests::test_build_multipart_with_array_field ... ok
test request_builder::multipart_builder::tests::test_build_multipart_with_complex_nested_data ... ok
test request_builder::multipart_builder::tests::test_build_multipart_with_multiple_fields ... ok
test request_builder::multipart_builder::tests::test_multipart_builder_integration ... ok
test request_builder::multipart_builder::tests::test_build_multipart_with_null_values ... ok
test request_builder::tests::test_build_request_complex_scenario ... ok
test request_builder::tests::test_build_request_different_methods ... ok
test request_builder::tests::test_build_request_with_body ... ok
test request_builder::tests::test_build_request_with_app_token ... ok
test request_builder::tests::test_build_request_with_body_and_files_edge_case ... ok
test request_builder::tests::test_build_request_with_custom_headers ... ok
test request_builder::tests::test_build_url_basic ... ok
test request_builder::tests::test_build_url_invalid_base_url ... ok
test request_builder::tests::test_build_url_with_empty_query ... ok
test request_builder::tests::test_build_request_with_query ... ok
test request_builder::tests::test_build_request_with_files ... ok
test request_builder::tests::test_build_request_with_user_token ... ok
test request_builder::tests::test_build_request_with_tenant_token ... ok
test request_builder::tests::test_build_url_with_path_segments ... ok
test request_builder::tests::test_unified_request_builder_is_send_sync ... ok
test request_builder::tests::test_build_url_with_query ... ok
test request_builder::tests::test_unified_request_builder_struct_creation ... ok
test request_builder::tests::test_build_url_with_special_characters ... ok
test testing::assertions::tests::test_assert_none_success ... ok
test testing::assertions::tests::test_assert_res_ok_success ... ok
test testing::assertions::tests::test_assert_some_success ... ok
test testing::assertions::tests::test_assert_some_panic - should panic ... ok
test testing::assertions::tests::test_assert_res_ok_panic - should panic ... ok
test testing::assertions::tests::test_assert_none_panic - should panic ... ok
test testing::fixtures::tests::test_test_config_builder ... ok
test testing::fixtures::tests::test_test_config_default ... ok
test trait_system::executable_builder::tests::test_executable_builder_execute ... ok
test trait_system::executable_builder::tests::test_executable_builder_execute_with_options ... ok
test trait_system::executable_builder::tests::test_executable_builder_build ... ok
test trait_system::service::tests::test_service_config ... ok
test trait_system::service::tests::test_service_name ... ok
test trait_system::service::tests::test_service_version ... ok
test auth::cache::tests::test_cache_entry_expiry ... ok
test utils::tests::test_user_agent_ascii ... ok
test utils::tests::test_user_agent_contains_no_spaces ... ok
test utils::tests::test_user_agent_format ... ok
test utils::tests::test_user_agent_integration_with_version ... ok
test utils::tests::test_user_agent_immutable ... ok
test utils::tests::test_user_agent_multiple_calls ... ok
test utils::tests::test_user_agent_length_reasonable ... ok
test utils::tests::test_user_agent_prefix ... ok
test utils::tests::test_user_agent_version_consistency ... ok
test utils::tests::test_user_agent_version_format ... ok
test validation::core::tests::test_default_validate_builder ... ok
test validation::core::tests::test_default_validate_builder_all_methods ... ok
test validation::core::tests::test_default_validate_builder_value_only_build ... ok
test validation::core::tests::test_is_chinese_char ... ok
test validation::core::tests::test_is_chinese_char_unicode_boundaries ... ok
test validation::core::tests::test_validate_content_size_various_sizes ... ok
test validation::core::tests::test_validate_content_size ... ok
test validation::core::tests::test_validate_content_size_multibyte_edge ... ok
test improved_response_handler::tests::test_response_parsing_performance ... ok
test validation::core::tests::test_validate_required ... ok
test validation::core::tests::test_validate_required_list_length_boundaries ... ok
test validation::core::tests::test_validate_string_length ... ok
test validation::core::tests::test_validate_string_length_empty_string ... ok
test validation::core::tests::test_validate_required_list_length_exact_match ... ok
test validation::core::tests::test_validate_string_length_utf8_truncation ... ok
test testing::mock_context::tests::test_test_runtime_creation ... ok
test validation::core::tests::test_validation_result ... ok
test testing::mock_context::tests::test_test_runtime_block_on ... ok
test testing::mock_context::tests::test_test_runtime_default ... ok
test validation::core::tests::test_validation_result_into_result_variants ... ok
test validation::file::tests::test_file_limits ... ok
test validation::file::tests::test_validate_file_extension ... ok
test validation::file::tests::test_validate_file_size ... ok
test validation::file::tests::test_validate_file_name ... ok
test validation::file::tests::test_validate_image_file ... ok
test validation::file::tests::test_validate_upload_file ... ok
test validation::pagination::tests::test_sanitize_tag_normal ... ok
test validation::pagination::tests::test_sanitize_tag_uppercase ... ok
test validation::pagination::tests::test_sanitize_tag_with_spaces ... ok
test validation::pagination::tests::test_validate_page_size_invalid ... ok
test validation::pagination::tests::test_validate_page_size_valid ... ok
test validation::pagination::tests::test_validate_page_token_empty ... ok
test observability::tests::test_async_performance_macro ... ok
test validation::pagination::tests::test_validate_pagination_params_invalid_size ... ok
test validation::pagination::tests::test_validate_pagination_params_valid ... ok
test validation::password::tests::test_password_limits ... ok
test validation::password::tests::test_password_validation ... ok
test validation::password::tests::test_validate_and_sanitize_password ... ok
test observability::tests::test_performance_macro ... ok
test validation::uuid::tests::test_is_nil_uuid ... ok
test validation::uuid::tests::test_sanitize_uuid ... ok
test validation::uuid::tests::test_uuid_limits ... ok
test observability::tests::test_response_tracker_validation_timing ... ok
test validation::pagination::tests::test_validate_page_token_valid ... ok
test validation::uuid::tests::test_generate_short_uuid ... ok
test observability::tests::test_response_tracker ... ok
test observability::tests::test_operation_tracker_success ... ok
test validation::uuid::tests::test_generate_uuid ... ok
test validation::uuid::tests::test_validate_short_uuid ... ok
test validation::uuid::tests::test_get_uuid_info ... ok
test observability::tests::test_auth_tracker_success ... ok
test validation::uuid::tests::test_validate_uuid_list ... ok
test validation::uuid::tests::test_validate_uuid ... ok
test validation::uuid::tests::test_validate_uuid_version ... ok

test result: ok. 476 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.02s

Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
api/mod.rs                                   290               155    46.55%          35                22    37.14%         242               127    47.52%           0                 0         -
api/responses.rs                             185                54    70.81%          29                11    62.07%         157                59    62.42%           0                 0         -
app_ticket_manager.rs                         19                19     0.00%           2                 2     0.00%          10                10     0.00%           0                 0         -
auth/cache.rs                                616                84    86.36%          65                20    69.23%         351                54    84.62%           0                 0         -
auth/refresh.rs                              296               277     6.42%          28                25    10.71%         198               180     9.09%           0                 0         -
auth/token.rs                                260                12    95.38%          25                 1    96.00%         193                 8    95.85%           0                 0         -
auth/token_provider.rs                        98                 8    91.84%          20                 4    80.00%          79                 8    89.87%           0                 0         -
auth/validator.rs                            267                14    94.76%          21                 1    95.24%         171                11    93.57%           0                 0         -
config.rs                                    440                48    89.09%          39                 9    76.92%         291                37    87.29%           0                 0         -
constants.rs                                 174                11    93.68%          16                 2    87.50%         119                 8    93.28%           0                 0         -
content_disposition.rs                        87                 0   100.00%           8                 0   100.00%          48                 0   100.00%           0                 0         -
error/codes.rs                               861               325    62.25%          52                 4    92.31%         645               309    52.09%           0                 0         -
error/context.rs                             405                28    93.09%          44                 5    88.64%         270                21    92.22%           0                 0         -
error/core.rs                                924               502    45.67%         102                53    48.04%         750               422    43.73%           0                 0         -
error/kinds.rs                               300               111    63.00%          26                 6    76.92%         230               106    53.91%           0                 0         -
error/mod.rs                                 118                20    83.05%          10                 2    80.00%          77                13    83.12%           0                 0         -
error/prelude.rs                             130                 3    97.69%          10                 0   100.00%          67                 2    97.01%           0                 0         -
error/traits.rs                              200                95    52.50%          33                17    48.48%         138                63    54.35%           0                 0         -
http.rs                                     1226               160    86.95%          72                11    84.72%         681               100    85.32%           0                 0         -
improved_response_handler.rs                1279               252    80.30%          61                12    80.33%         940               178    81.06%           0                 0         -
observability.rs                            1043                17    98.37%          80                 1    98.75%         545                15    97.25%           0                 0         -
performance/mod.rs                            58                 0   100.00%           6                 0   100.00%          70                 0   100.00%           0                 0         -
query_params.rs                             1169                 0   100.00%          75                 0   100.00%         588                 0   100.00%           0                 0         -
req_option.rs                                505                 0   100.00%          35                 0   100.00%         308                 0   100.00%           0                 0         -
req_translator.rs                            146                 1    99.32%          13                 0   100.00%         126                 1    99.21%           0                 0         -
request_builder/auth_handler.rs              485                 7    98.56%          43                 0   100.00%         335                 4    98.81%           0                 0         -
request_builder/header_builder.rs            411                 0   100.00%          23                 0   100.00%         207                 0   100.00%           0                 0         -
request_builder/mod.rs                       544                34    93.75%          39                 0   100.00%         332                23    93.07%           0                 0         -
